House,Destination,Google_Maps_URL,URL_House_to_40E_Dundee,URL_40E_Dundee_to_2600_South_River
742 Pointe Dr,112 Old Barrington Rd,"=HYPERLINK(""https://www.google.com/maps/dir/742+Pointe+Dr+Crystal+Lake+IL/112+Old+Barrington+Rd+North+Barrington+IL"",""18 min"")","=HYPERLINK(""https://www.google.com/maps/dir/742+Pointe+Dr+Crystal+Lake+IL/40+E+Dundee+Rd+Barrington+IL"",""28 min"")","=HYPERLINK(""https://www.google.com/maps/dir/40+E+Dundee+Rd+Barrington+IL/2600+South+River+Rd+Des+Plaines+IL"",""28 min"")"
742 Pointe Dr,40 E Dundee Rd,"=HYPERLINK(""https://www.google.com/maps/dir/742+Pointe+Dr+Crystal+Lake+IL/40+E+Dundee+Rd+Barrington+IL"",""28 min"")","=HYPERLINK(""https://www.google.com/maps/dir/742+Pointe+Dr+Crystal+Lake+IL/40+E+Dundee+Rd+Barrington+IL"",""28 min"")","=HYPERLINK(""https://www.google.com/maps/dir/40+E+Dundee+Rd+Barrington+IL/2600+South+River+Rd+Des+Plaines+IL"",""28 min"")"
742 Pointe Dr,2600 South River Rd,"=HYPERLINK(""https://www.google.com/maps/dir/742+Pointe+Dr+Crystal+Lake+IL/2600+South+River+Rd+Des+Plaines+IL"",""46 min"")","=HYPERLINK(""https://www.google.com/maps/dir/742+Pointe+Dr+Crystal+Lake+IL/40+E+Dundee+Rd+Barrington+IL"",""28 min"")","=HYPERLINK(""https://www.google.com/maps/dir/40+E+Dundee+Rd+Barrington+IL/2600+South+River+Rd+Des+Plaines+IL"",""28 min"")"
742 Pointe Dr,39 E Main St,"=HYPERLINK(""https://www.google.com/maps/dir/742+Pointe+Dr+Crystal+Lake+IL/39+E+Main+St+Carpentersville+IL"",""16 min"")","=HYPERLINK(""https://www.google.com/maps/dir/742+Pointe+Dr+Crystal+Lake+IL/40+E+Dundee+Rd+Barrington+IL"",""28 min"")","=HYPERLINK(""https://www.google.com/maps/dir/40+E+Dundee+Rd+Barrington+IL/2600+South+River+Rd+Des+Plaines+IL"",""28 min"")"
,,,,
3829 Eastway Dr,112 Old Barrington Rd,"=HYPERLINK(""https://www.google.com/maps/dir/3829+Eastway+Dr+Island+Lake+IL/112+Old+Barrington+Rd+North+Barrington+IL"",""13 min"")","=HYPERLINK(""https://www.google.com/maps/dir/3829+Eastway+Dr+Island+Lake+IL/40+E+Dundee+Rd+Barrington+IL"",""28 min"")","=HYPERLINK(""https://www.google.com/maps/dir/40+E+Dundee+Rd+Barrington+IL/2600+South+River+Rd+Des+Plaines+IL"",""28 min"")"
3829 Eastway Dr,40 E Dundee Rd,"=HYPERLINK(""https://www.google.com/maps/dir/3829+Eastway+Dr+Island+Lake+IL/40+E+Dundee+Rd+Barrington+IL"",""28 min"")","=HYPERLINK(""https://www.google.com/maps/dir/3829+Eastway+Dr+Island+Lake+IL/40+E+Dundee+Rd+Barrington+IL"",""28 min"")","=HYPERLINK(""https://www.google.com/maps/dir/40+E+Dundee+Rd+Barrington+IL/2600+South+River+Rd+Des+Plaines+IL"",""28 min"")"
3829 Eastway Dr,2600 South River Rd,"=HYPERLINK(""https://www.google.com/maps/dir/3829+Eastway+Dr+Island+Lake+IL/2600+South+River+Rd+Des+Plaines+IL"",""51 min"")","=HYPERLINK(""https://www.google.com/maps/dir/3829+Eastway+Dr+Island+Lake+IL/40+E+Dundee+Rd+Barrington+IL"",""28 min"")","=HYPERLINK(""https://www.google.com/maps/dir/40+E+Dundee+Rd+Barrington+IL/2600+South+River+Rd+Des+Plaines+IL"",""28 min"")"
3829 Eastway Dr,39 E Main St,"=HYPERLINK(""https://www.google.com/maps/dir/3829+Eastway+Dr+Island+Lake+IL/39+E+Main+St+Carpentersville+IL"",""28 min"")","=HYPERLINK(""https://www.google.com/maps/dir/3829+Eastway+Dr+Island+Lake+IL/40+E+Dundee+Rd+Barrington+IL"",""28 min"")","=HYPERLINK(""https://www.google.com/maps/dir/40+E+Dundee+Rd+Barrington+IL/2600+South+River+Rd+Des+Plaines+IL"",""28 min"")"
,,,,
