Composite Score,Address,Listing URL,Price (30%),Beds (4%),Baths (7.5%),Sq Ft (3.5%),Girls (7.5%),School (30%),Work,MSB (30%),School/Work Commute (25%),Total Drive Time (7.5%),Location Score (40%),Parking (5%),Brokerage Comp,Includes Basement (5%),Type (5%),Contact,Notes
4,"3330 Berwyn Ave, Unit 233, North Chicago, IL 60064",,1200,1,1,800,43 min,43 min,39 min,1 hr 2 min,1 hr 12 min,3 hr 7 min,1.2,none,,none,Condo,,default
6.7,3829 Eastway Dr. Island Lake,https://zenlist.com/listing/mred:12667977?as=jill.dwornik,"$2,250.00 ",3,2,1356,13 min,27 min,51 min,29 min,56 min,2 hr,5.7,2.5 car garage,,unfinished,Single Family,,
6.5,"515 Eichler Dr West Dundee, IL 60118",https://zenlist.com/listing/mred:12758328?as=jill.dwornik,"$2,400.00 ",2,1.5,1250,26 min,19 min,31 min,4 min,48 min,1 hr 20 min,8.4,2 car garage,,unknown,Duplex,,
6.3,"195 Tollview Ter, Gilberts, IL",https://www.redfin.com/IL/Gilberts/195-Tollview-Ter-60136/home/16910761,"$2,300.00 ",3,1.5,1200,34 min,30 min,35 min,13 min,59 min,1 hr 52 min,6.2,2 car garage,,unknown,Single Family,Frank Lamco (815) 893-9264,Pool
6.1,"1637 Sheffield Dr, Elgin",https://zenlist.com/listing/mred:12729069?as=jill.dwornik,"$2,400.00 ",3,1.5,1300,33 min,24 min,29 min,11 min,53 min,1 hr 37 min,7.4,1.5 car garage,,unfinished,Duplex,,
7.6,"1021 Augusta Ave, Elgin",https://zenlist.com/listing/mred:12743741?as=jill.dwornik,"$1,900.00 ",3,1.5,1100,29 min,21 min,27 min,13 min,50 min,1 hr 30 min,8,1 car garage,,unknown,Single Family,,
6.2,"653 Cress Creek Ln, Crystal Lake, IL 60014",https://zenlist.com/listing/mred:12748902?as=jill.dwornik,"$2,499.00 ",3,3,1993,26 min,31 min,48 min,20 min,1 hr,2 hr 5 min,5.6,2 car garage,,finished,Duplex,,
5.3,"1068 Turin Dr Hampshire, IL 60140",https://zenlist.com/listing/mred:12755950?as=jill.dwornik,"$2,170.00 ",2,2,1274,45 min,36 min,41 min,26 min,1 hr 5 min,2 hr 28 min,3.5,2 car garage,,none,Townhome,,
6,"1477 Garnet Cir Hoffman Estates, IL 60192",https://zenlist.com/listing/mred:12761018?as=jill.dwornik,"$2,600.00 ",2,1.5,1450,19 min,9 min,26 min,20 min,38 min,1 hr 14 min,9.2,2 car garage,,none,Townhome,,
6.4,"133 Willey St Gilberts, IL 60136",https://zenlist.com/listing/mred:12732762?as=jill.dwornik,"$2,400.00 ",2,2.5,1950,35 min,30 min,36 min,14 min,59 min,1 hr 55 min,6.1,2 car garage,,finished,Townhome,,
6.4,"2477 Stonegate Rd # 6, Algonquin, IL 60102",https://zenlist.com/listing/mred:12656173?as=jill.dwornik,"$2,595.00 ",3,2.5,2077,25 min,22 min,36 min,8 min,51 min,1 hr 31 min,7.9,2 car garage,,unfinished,Townhome,,
6.2,"2062 Peach Tree Ln Algonquin, IL 60102",https://zenlist.com/listing/mred:12744955?as=jill.dwornik,"$2,400.00 ",2,2,1639,25 min,24 min,39 min,12 min,53 min,1 hr 40 min,7.5,2 car garage,,none,Townhome,,
6.6,"1904 Cobblestone Dr # 1904, Carpentersville, IL 60110",https://zenlist.com/listing/mred:12754420?as=jill.dwornik,"$2,500.00 ",2,2.5,1551,18 min,16 min,35 min,9 min,45 min,1 hr 18 min,9.1,2 car garage,,none,Townhome,,
6.4,"4609 Olmstead Dr Hoffman Estates, IL 60192",https://zenlist.com/listing/mred:12740399?as=jill.dwornik,"$2,400.00 ",3,1.5,1400,18 min,8 min,25 min,19 min,37 min,1 hr 10 min,9.4,1 car garage,,none,Townhome,,
